Markup,Part/Library name,Parts Per Package,Reference Designator,TinyCAD Symbol,FreePCB Package,Description,,,,,,,,,,,,,,,,,,,,,
library,gen_Passives,,,,,,,,,,,,,,,,,,,,,,,,,,
header,Name,PPP,Ref,Symbol,Package,Description,,Vmax,Imax,VBO,IBO,Vt,,,,,,,,,Manufacturer,Manufacturer Part,Digi-Key Part,Newark Part,Mouser Part,,Cost
part,DIAC,1,D?,DIAC,,,,,,,,,,,,,,,,,,,,,,,
header,Name,PPP,Ref,Symbol,Package,Description,,Vmax,Imax,Igt,It,Vt,Ih,,,,,,,,Manufacturer,Manufacturer Part,Digi-Key Part,Newark Part,Mouser Part,,Cost
part,TRIAC,1,D?,TRIAC,,,,,,,,,,,,,,,,,,,,,,,
header,Name,PPP,Ref,Symbol,Package,Description,,Vmax,Imax,Igt,It,Vt,Ton,Toff,,,,,,,Manufacturer,Manufacturer Part,Digi-Key Part,Newark Part,Mouser Part,,Cost
part,THYRISTOR_N,1,THY?,THYRISTOR_N,,N-Channel Thyristor,,,,,,,,,,,,,,,,,,,,,
part,THYRISTOR_P,1,THY?,THYRISTOR_P,,P-Channel Thyristor,,,,,,,,,,,,,,,,,,,,,
header,Name,PPP,Ref,Symbol,Package,Description,,Vmax,Imax,Igt,It,Vt,Ton,Toff,,,,,,,Manufacturer,Manufacturer Part,Digi-Key Part,Newark Part,Mouser Part,,Cost
part,PHOTODIODE,1,D?,D_PHOTO,,Photodiode,,,,,,,,,,,,,,,,,,,,,
part,PHOTOTRANSISTOR_NPN,1,Q?,Q_PHOTO_NPN,,NPN Phototransistor,,,,,,,,,,,,,,,,,,,,,
part,PHOTOTRANSISTOR_PNP,1,Q?,Q_PHOTO_PNP,,PNP Phototransistor,,,,,,,,,,,,,,,,,,,,,
part,PHOTOSENSOR,1,,,,Photosensor,,,,,,,,,,,,,,,,,,,,,
part,OPTO_ISOLATOR,1,U?,OPTO_ISO,,Optical Isolator,,,,,,,,,,,,,,,,,,,,,
header,Name,PPP,Ref,Symbol,Package,Description,,Vmax,Imax,Igt,It,Vt,Ton,Toff,,,,,,,Manufacturer,Manufacturer Part,Digi-Key Part,Newark Part,Mouser Part,,Cost
part,N_JFET,1,FET?,N_JFET,,N-Channel JFET,,,,,,,,,,,,,,,,,,,,,
part,N_MOSFET_ENH,1,FET?,NMOSFET_ENH,,Enhancement mode N-channel MOSFET,,,,,,,,,,,,,,,,,,,,,
part,N_MOSFET_DEP,1,FET?,NMOSFET_DEP,,Depletion mode N-channel MOSFET,,,,,,,,,,,,,,,,,,,,,
part,P_JFET,1,FET?,P_JFET,,P-Channel JFET,,,,,,,,,,,,,,,,,,,,,
part,P_MOSFET_ENH,1,FET?,PMOSFET_ENH,,Enhancement mode P-channel MOSFET,,,,,,,,,,,,,,,,,,,,,
part,P_MOSFET_DEP,1,FET?,PMOSFET_DEP,,Depletion mode P-channel MOSFET,,,,,,,,,,,,,,,,,,,,,
library,gen_Power,,,,,,,,,,,,,,,,,,,,,,,,,,
